name	description	index	publication
ID1			Alexandrov L.B. et al. (2018)
ID2			Alexandrov L.B. et al. (2018)
ID3			Alexandrov L.B. et al. (2018)
ID4			Alexandrov L.B. et al. (2018)
ID5			Alexandrov L.B. et al. (2018)
ID6			Alexandrov L.B. et al. (2018)
ID7			Alexandrov L.B. et al. (2018)
ID8			Alexandrov L.B. et al. (2018)
ID9			Alexandrov L.B. et al. (2018)
ID10			Alexandrov L.B. et al. (2018)
ID11			Alexandrov L.B. et al. (2018)
ID12			Alexandrov L.B. et al. (2018)
ID13			Alexandrov L.B. et al. (2018)
ID14			Alexandrov L.B. et al. (2018)
ID15			Alexandrov L.B. et al. (2018)
ID16			Alexandrov L.B. et al. (2018)
ID17			Alexandrov L.B. et al. (2018)
